,Unnamed: 0,elo,championName,win,kills,assists,deaths,individualPosition,totalMinionsKilled,goldEarned,dragonKills,totalDamageDealtToChampions,totalDamageTaken,turretTakedowns,baronKills,damageDealtToBuildings,damageDealtToObjectives,detectorWardsPlaced,inhibitorTakedowns,neutralMinionsKilled,wardsKilled,wardsPlaced,visionScore,summoner2Id,summoner1Id
0,0,DIAMOND IV,Ornn,True,3,6,5,TOP,133,9363,0,18939,29533,3,0,4010,17599,1,1,4,8,9,26,12,4
1,1,DIAMOND III,FiddleSticks,True,1,12,3,JUNGLE,36,10480,1,19168,25590,3,0,775,19359,4,1,128,12,4,61,4,11
2,2,PLATINUM II,Syndra,True,9,7,5,MIDDLE,189,13537,0,27320,16089,2,0,3510,8377,0,1,4,6,9,18,4,12
3,3,DIAMOND III,Tristana,True,9,4,4,BOTTOM,203,14368,0,21371,17593,4,1,11702,19619,4,1,20,10,11,34,7,4
4,4,DIAMOND IV,Taric,True,1,15,2,UTILITY,37,7650,0,4182,14545,4,0,486,1611,3,1,0,8,23,43,4,14
5,5,PLATINUM I,Gnar,False,3,6,6,TOP,144,9510,1,20978,28180,2,0,1013,3720,8,0,20,3,16,26,4,12
6,6,DIAMOND IV,Graves,False,5,3,7,JUNGLE,40,11066,1,16829,26855,0,0,3079,16678,6,0,132,13,24,64,11,4
7,7,PLATINUM I,Lissandra,False,7,6,4,MIDDLE,156,10799,0,16769,20236,0,0,704,14804,3,0,0,2,12,25,12,4
8,8,PLATINUM II,Kaisa,False,2,5,5,BOTTOM,172,9678,0,13952,19185,0,0,2001,6833,1,0,20,1,10,13,7,4
9,9,PLATINUM II,Nautilus,False,2,9,1,UTILITY,40,6877,0,8224,18457,0,0,0,1197,5,0,4,2,31,62,4,14
10,10,PLATINUM II,Mordekaiser,False,3,8,8,TOP,153,10883,0,22545,37214,0,0,522,5586,0,0,13,1,6,14,12,4
11,11,PLATINUM I,Kindred,False,6,11,8,JUNGLE,31,11459,3,21963,31953,0,0,37,32709,3,0,145,6,10,29,4,11
